lead_id,domain,final_url,http_status,bytes,page_count,fetch_status,error_detail
1672,niklandco.com,,,0,0,timeout,http: 
1674,shreejifoodproducts.com,,,0,0,timeout,http: 
1675,cbs-ci.com,,,0,0,timeout,http: 
1676,alfanyoun.com,,,0,0,timeout,http: 
1677,saffronzionsville.com,,,0,0,timeout,http: 
1679,elevaempresas.com,,,0,0,timeout,http: 
1680,dsmzservices.my,,,0,0,timeout,http: 
1681,bharattanning.com,http://bharattanning.com/,200,302344,2,ok,https: 
1682,flames2firedevo.org,,,0,0,timeout,http: 
1683,mini-rc-combat.com,http://mini-rc-combat.com/,503,114,1,ok,https: 
1684,quatangthanhphat.com,,,0,0,timeout,http: 
1687,dsracademy.uk,,,0,0,timeout,http: 
1689,burropools.com,,,0,0,timeout,http: 
1691,pivateknik.com.tr,,,0,0,timeout,http: 
1692,lythubtechnologies.com,http://lythubtechnologies.com/,500,11989,1,ok,https: 
1693,spasofcolorado.com,,,0,0,timeout,http: 
1694,condominiomardeoro.com,,,0,0,timeout,http: 
1695,girlssetgo.org,,,0,0,timeout,http: 
1696,pianetabbq.it,http://pianetabbq.it/,202,169,1,ok,https: 
1697,lotus-dentistry.com,,,0,0,timeout,http: 
1698,sonriart.mx,,,0,0,timeout,http: 
1699,carolinapurewater.com,http://carolinapurewater.com/,403,1486,1,blocked,http_403
1700,www.aspen-elevated.com,,,0,0,timeout,http: 
1701,gdoc.co.uk,,,0,0,timeout,http: 
1702,www.autopantti.fi,,,0,0,timeout,http: 
1703,bahadirogullari.com,,,0,0,timeout,http: 
1704,lyybnitsa.ee,,,0,0,timeout,http: 
1705,artematech.com,http://artematech.com/,403,4909,1,blocked,http_403
